PROVINCIA;CANTON;DISTRITO;CROBOV;CTACHAV;CODDIST
ALAJUELA;ALAJUELA;ALAJUELA;86;73;20101
ALAJUELA;ALAJUELA;CARRIZAL;7;3;20103
ALAJUELA;ALAJUELA;DESAMPARADOS;31;6;20110
ALAJUELA;ALAJUELA;GUACIMA;33;11;20105
ALAJUELA;ALAJUELA;LAGARITA;4;8;20113
ALAJUELA;ALAJUELA;RIOSEGUNDO;21;6;20109
ALAJUELA;ALAJUELA;SABANILLA;3;1;20107
ALAJUELA;ALAJUELA;SANANTONIO;28;5;50203
ALAJUELA;ALAJUELA;SANISIDRO;15;5;20302
ALAJUELA;ALAJUELA;SANJOSE;43;28;21303
ALAJUELA;ALAJUELA;SANRAFAEL;20;27;30701
ALAJUELA;ALAJUELA;SARAPIQUI;0;4;20114
ALAJUELA;ALAJUELA;TAMBOR;12;3;20112
ALAJUELA;ALAJUELA;TURRUCARES;6;4;20111
ALAJUELA;ATENAS;ATENAS;8;9;20501
ALAJUELA;ATENAS;CONCEPCION;3;0;20211
ALAJUELA;ATENAS;ESCOBAL;1;0;20508
ALAJUELA;ATENAS;JESUS;4;7;40404
ALAJUELA;ATENAS;MERCEDES;1;1;70602
ALAJUELA;ATENAS;SANJOSE;1;3;21303
ALAJUELA;ATENAS;SANTAEULALIA;1;1;20507
ALAJUELA;DESCONOCIDO;DESCONOCIDO;2;0;-9999
ALAJUELA;GRECIA;BOLIVAR;3;1;20308
ALAJUELA;GRECIA;GRECIA;27;19;20301
ALAJUELA;GRECIA;PUENTEDEPIEDRA;5;5;20307
ALAJUELA;GRECIA;SANISIDRO;2;3;20302
ALAJUELA;GRECIA;SANJOSE;3;1;21303
ALAJUELA;GRECIA;SANROQUE;2;7;20304
ALAJUELA;GRECIA;TACARES;8;1;20305
ALAJUELA;GUATUSO;SANRAFAEL;2;0;30701
ALAJUELA;LOSCHILES;CANONEGRO;1;0;21402
ALAJUELA;LOSCHILES;ELAMPARO;3;0;21403
ALAJUELA;LOSCHILES;LOSCHILES;9;0;21401
ALAJUELA;NARANJO;CIRRISUR;1;0;20604
ALAJUELA;NARANJO;NARANJO;9;8;20601
ALAJUELA;NARANJO;PALMITOS;1;3;-9999
ALAJUELA;NARANJO;ROSARIO;6;0;20607
ALAJUELA;NARANJO;SANJERONIMO;2;1;20605
ALAJUELA;NARANJO;SANJOSE;1;0;21303
ALAJUELA;NARANJO;SANJUAN;1;2;50703
