PROVINCIA;NCANTON;NDISTRITO;CODDIST;CANTROBOSV;CANTTACHAV;CODCANTON;CODCANTONU;TOTALROBV;TOTALTACV
NA;NA;NA;-9999;0;1;-909;-909;0;1
SAN JOSE;SAN JOSE;URUCA;10107;3;3;101;101;224;474
SAN JOSE;SANTA ANA;URUCA;10107;3;3;101;102;2;8
SAN JOSE;SAN JOSE;MERCED;10102;18;51;101;103;38;63
SAN JOSE;SAN JOSE;MATA REDONDA;10108;4;38;101;104;5;3
SAN JOSE;SAN JOSE;CARMEN;10101;6;33;101;105;3;3
SAN JOSE;SAN JOSE;HOSPITAL;10103;34;72;101;106;37;15
SAN JOSE;SAN JOSE;CATEDRAL;10104;32;41;101;107;7;11
SAN JOSE;SAN JOSE;HATILLO;10110;41;36;101;108;45;62
SAN JOSE;SAN JOSE;SAN SEBASTIAN;10111;39;56;101;109;21;48
SAN JOSE;SAN JOSE;SAN FCO. DE DOS RIOS;10106;15;27;101;110;15;18
CARTAGO;CARTAGO;CARMEN;10101;6;33;101;111;6;13
SAN JOSE;SAN JOSE;PAVAS;10109;23;81;101;112;1;0
SAN JOSE;ESCAZU;ESCAZU;10201;2;8;102;113;25;31
SAN JOSE;DESAMPARADOS;SAN RAFAEL ABAJO;10311;9;13;103;114;6;9
SAN JOSE;DESAMPARADOS;GRAVILIAS;10312;7;13;103;116;1;0
SAN JOSE;DESAMPARADOS;DAMAS;10310;5;4;103;117;1;2
SAN JOSE;DESAMPARADOS;SAN JUAN DE DIOS;10303;4;2;103;118;28;114
SAN JOSE;DESAMPARADOS;FRAILES;10306;1;1;103;119;44;27
SAN JOSE;DESAMPARADOS;SAN RAFAEL ARRIBA;10304;4;13;103;120;1;0
SAN JOSE;DESAMPARADOS;PATARRA;10307;4;5;103;201;217;238
SAN JOSE;DESAMPARADOS;LOS GUIDO;10313;4;11;103;202;122;75
SAN JOSE;DESAMPARADOS;SAN CRISTOBAL;10308;0;1;103;203;114;269
SAN JOSE;PURISCAL;GRIFO ALTO;10404;0;1;104;204;0;1
SAN JOSE;PURISCAL;DESAMPARADITOS;10407;1;0;104;205;10;10
SAN JOSE;PURISCAL;BARBACOAS;10403;1;0;104;206;110;67
SAN JOSE;PURISCAL;MERCEDES SUR;10402;3;2;104;207;26;14
SAN JOSE;PURISCAL;CANDELARITA;10406;0;0;104;208;20;0
SAN JOSE;PURISCAL;CHIRES;10409;0;0;104;209;19;11
SAN JOSE;TARRAZU;SAN CARLOS;10503;0;0;105;210;113;41
SAN JOSE;TARRAZU;SAN LORENZO;10502;2;1;105;211;77;165
SAN JOSE;TARRAZU;SAN MARCOS;10501;1;2;105;212;21;0
SAN JOSE;ASERRI;TARBACA;10602;2;0;106;213;36;15
SAN JOSE;ASERRI;SAN GABRIEL;10604;0;1;106;214;13;0
SAN JOSE;ASERRI;LEGUA;10605;0;0;106;215;0;0
SAN JOSE;ASERRI;ASERRI;10601;28;12;106;301;42;58
SAN JOSE;ASERRI;SALITRILLOS;10607;4;1;106;302;18;78
SAN JOSE;ASERRI;VUELTA DE JORCO;10603;3;1;106;303;20;20
SAN JOSE;MORA;PICAGRES;10705;0;0;107;304;4;6
SAN JOSE;MORA;COLON;10701;5;8;107;305;5;19
SAN JOSE;MORA;PIEDRAS NEGRAS;10704;0;0;107;306;1;2
SAN JOSE;MORA;TABARCIA;10703;1;3;107;307;18;35
SAN JOSE;MORA;GUAYABO;10702;1;0;107;308;7;16
SAN JOSE;GOICOECHEA;RANCHO REDONDO;10806;1;1;108;401;42;69
SAN JOSE;GOICOECHEA;IPIS;10805;4;14;108;402;18;22
SAN JOSE;GOICOECHEA;MATA DE PLATANO;10804;8;4;108;403;48;104
SAN JOSE;GOICOECHEA;CALLE BLANCOS;10803;17;30;108;404;40;14
SAN JOSE;GOICOECHEA;PURRAL;10807;15;13;108;405;7;5
SAN JOSE;SANTA ANA;POZOS;10903;9;26;109;407;6;11
SAN JOSE;SANTA ANA;BRASIL;10906;1;1;109;408;17;12
SAN JOSE;SANTA ANA;SANTA ANA;10901;4;15;109;410;44;9
SAN JOSE;SANTA ANA;PIEDADES;10905;2;4;109;501;24;50
SAN JOSE;SANTA ANA;SALITRAL;10902;5;2;109;502;68;60
SAN JOSE;ALAJUELITA;SAN FELIPE;11005;7;10;110;503;157;100
